headline,label,date
Disappointing earnings drag tech sector down,0,2021-03-11
Unemployment claims rise unexpectedly,0,2023-05-14
"Oil prices fall, reducing inflation fears",1,2022-07-24
Markets tumble as inflation surges past forecast,0,2021-09-28
Federal Reserve signals interest rate pause to support markets,1,2021-10-26
Markets tumble as inflation surges past forecast,0,2021-10-29
Markets tumble as inflation surges past forecast,0,2023-03-31
Unemployment claims rise unexpectedly,0,2021-12-07
Positive job report boosts investor confidence,1,2021-11-02
"Oil prices fall, reducing inflation fears",1,2022-09-07
"Oil prices fall, reducing inflation fears",1,2021-03-03
Geopolitical tensions trigger global selloff,0,2022-12-14
Positive job report boosts investor confidence,1,2023-02-06
Positive job report boosts investor confidence,1,2022-11-18
"Oil prices fall, reducing inflation fears",1,2021-01-23
Tech stocks rally as earnings exceed expectations,1,2021-08-02
Positive job report boosts investor confidence,1,2022-11-09
Federal Reserve hints at aggressive rate hikes,0,2023-01-24
"Oil prices fall, reducing inflation fears",1,2022-05-25
Disappointing earnings drag tech sector down,0,2022-03-16
Federal Reserve signals interest rate pause to support markets,1,2022-05-29
Economic indicators point to sustained recovery,1,2021-12-02
Economic indicators point to sustained recovery,1,2021-09-16
Federal Reserve hints at aggressive rate hikes,0,2021-09-12
Geopolitical tensions trigger global selloff,0,2023-03-01
"Oil prices fall, reducing inflation fears",1,2021-07-30
Positive job report boosts investor confidence,1,2021-05-22
Economic indicators point to sustained recovery,1,2021-09-30
Federal Reserve hints at aggressive rate hikes,0,2022-05-24
Federal Reserve hints at aggressive rate hikes,0,2022-04-11
Markets tumble as inflation surges past forecast,0,2022-11-20
Geopolitical tensions trigger global selloff,0,2021-02-13
Geopolitical tensions trigger global selloff,0,2021-11-06
"Oil prices fall, reducing inflation fears",1,2022-11-17
Positive job report boosts investor confidence,1,2022-09-12
Disappointing earnings drag tech sector down,0,2021-05-13
Federal Reserve hints at aggressive rate hikes,0,2023-04-06
Federal Reserve signals interest rate pause to support markets,1,2021-01-03
Federal Reserve hints at aggressive rate hikes,0,2022-08-22
"Oil prices fall, reducing inflation fears",1,2022-06-17
Tech stocks rally as earnings exceed expectations,1,2021-09-28
Disappointing earnings drag tech sector down,0,2022-04-30
Markets tumble as inflation surges past forecast,0,2023-05-06
Markets tumble as inflation surges past forecast,0,2022-02-03
Federal Reserve hints at aggressive rate hikes,0,2022-06-26
Unemployment claims rise unexpectedly,0,2023-02-13
Federal Reserve signals interest rate pause to support markets,1,2022-07-22
Federal Reserve signals interest rate pause to support markets,1,2022-08-08
"Oil prices fall, reducing inflation fears",1,2023-01-17
Tech stocks rally as earnings exceed expectations,1,2021-11-22
Tech stocks rally as earnings exceed expectations,1,2023-04-27
Markets tumble as inflation surges past forecast,0,2022-07-29
Positive job report boosts investor confidence,1,2023-05-27
Disappointing earnings drag tech sector down,0,2022-06-12
Unemployment claims rise unexpectedly,0,2021-04-06
Geopolitical tensions trigger global selloff,0,2021-05-18
"Oil prices fall, reducing inflation fears",1,2021-08-25
Tech stocks rally as earnings exceed expectations,1,2021-06-29
Disappointing earnings drag tech sector down,0,2022-10-31
Geopolitical tensions trigger global selloff,0,2022-01-09
"Oil prices fall, reducing inflation fears",1,2022-11-14
Federal Reserve signals interest rate pause to support markets,1,2023-01-31
Positive job report boosts investor confidence,1,2021-09-07
Disappointing earnings drag tech sector down,0,2021-09-04
Disappointing earnings drag tech sector down,0,2021-10-06
Economic indicators point to sustained recovery,1,2022-06-29
Geopolitical tensions trigger global selloff,0,2021-09-04
Economic indicators point to sustained recovery,1,2022-01-07
Unemployment claims rise unexpectedly,0,2021-02-24
Markets tumble as inflation surges past forecast,0,2022-04-20
Positive job report boosts investor confidence,1,2023-05-23
Federal Reserve signals interest rate pause to support markets,1,2022-08-21
"Oil prices fall, reducing inflation fears",1,2021-07-03
Economic indicators point to sustained recovery,1,2021-02-28
"Oil prices fall, reducing inflation fears",1,2022-05-20
Markets tumble as inflation surges past forecast,0,2023-02-25
Federal Reserve hints at aggressive rate hikes,0,2021-01-16
Federal Reserve hints at aggressive rate hikes,0,2022-05-03
Markets tumble as inflation surges past forecast,0,2023-05-08
Disappointing earnings drag tech sector down,0,2021-09-17
Markets tumble as inflation surges past forecast,0,2022-03-25
Positive job report boosts investor confidence,1,2022-10-21
Federal Reserve signals interest rate pause to support markets,1,2021-12-05
Positive job report boosts investor confidence,1,2022-11-22
Positive job report boosts investor confidence,1,2022-05-25
Federal Reserve signals interest rate pause to support markets,1,2023-06-07
Geopolitical tensions trigger global selloff,0,2021-02-05
Positive job report boosts investor confidence,1,2022-06-30
Federal Reserve signals interest rate pause to support markets,1,2023-02-23
Economic indicators point to sustained recovery,1,2021-11-21
Economic indicators point to sustained recovery,1,2021-01-02
Federal Reserve signals interest rate pause to support markets,1,2022-08-13
Markets tumble as inflation surges past forecast,0,2021-06-23
Federal Reserve signals interest rate pause to support markets,1,2021-05-28
Markets tumble as inflation surges past forecast,0,2021-01-18
Positive job report boosts investor confidence,1,2021-05-20
Markets tumble as inflation surges past forecast,0,2023-03-31
Markets tumble as inflation surges past forecast,0,2021-08-02
Markets tumble as inflation surges past forecast,0,2022-06-30
Federal Reserve hints at aggressive rate hikes,0,2023-02-11
Markets tumble as inflation surges past forecast,0,2022-08-28
Unemployment claims rise unexpectedly,0,2023-02-27
Federal Reserve signals interest rate pause to support markets,1,2021-01-04
"Oil prices fall, reducing inflation fears",1,2021-07-21
Federal Reserve signals interest rate pause to support markets,1,2022-07-29
Positive job report boosts investor confidence,1,2021-08-23
Federal Reserve signals interest rate pause to support markets,1,2022-11-11
Positive job report boosts investor confidence,1,2022-05-28
Federal Reserve hints at aggressive rate hikes,0,2021-05-04
Economic indicators point to sustained recovery,1,2021-08-18
Tech stocks rally as earnings exceed expectations,1,2021-10-04
Markets tumble as inflation surges past forecast,0,2021-04-24
Positive job report boosts investor confidence,1,2022-05-15
Disappointing earnings drag tech sector down,0,2022-11-06
Federal Reserve hints at aggressive rate hikes,0,2022-02-08
Unemployment claims rise unexpectedly,0,2022-11-20
Disappointing earnings drag tech sector down,0,2022-03-30
Geopolitical tensions trigger global selloff,0,2021-11-25
Economic indicators point to sustained recovery,1,2023-04-12
Federal Reserve signals interest rate pause to support markets,1,2021-12-08
Positive job report boosts investor confidence,1,2021-09-19
Markets tumble as inflation surges past forecast,0,2023-05-18
Unemployment claims rise unexpectedly,0,2022-07-08
Markets tumble as inflation surges past forecast,0,2021-10-13
Disappointing earnings drag tech sector down,0,2022-12-03
Markets tumble as inflation surges past forecast,0,2021-12-19
Federal Reserve signals interest rate pause to support markets,1,2022-10-09
Unemployment claims rise unexpectedly,0,2021-02-28
Geopolitical tensions trigger global selloff,0,2022-08-27
Geopolitical tensions trigger global selloff,0,2023-05-01
Unemployment claims rise unexpectedly,0,2021-08-14
Tech stocks rally as earnings exceed expectations,1,2022-06-07
Positive job report boosts investor confidence,1,2021-10-02
Federal Reserve hints at aggressive rate hikes,0,2021-09-19
Federal Reserve signals interest rate pause to support markets,1,2022-01-09
Disappointing earnings drag tech sector down,0,2022-01-27
"Oil prices fall, reducing inflation fears",1,2021-01-24
Federal Reserve signals interest rate pause to support markets,1,2023-06-17
Tech stocks rally as earnings exceed expectations,1,2022-11-28
Federal Reserve hints at aggressive rate hikes,0,2022-04-09
Positive job report boosts investor confidence,1,2023-01-04
Economic indicators point to sustained recovery,1,2023-06-04
Tech stocks rally as earnings exceed expectations,1,2021-12-04
Positive job report boosts investor confidence,1,2022-06-20
Federal Reserve signals interest rate pause to support markets,1,2022-10-16
Federal Reserve hints at aggressive rate hikes,0,2023-04-03
Disappointing earnings drag tech sector down,0,2022-08-09
Economic indicators point to sustained recovery,1,2021-03-02
Federal Reserve signals interest rate pause to support markets,1,2022-09-26
Unemployment claims rise unexpectedly,0,2023-02-16
Markets tumble as inflation surges past forecast,0,2022-07-10
Markets tumble as inflation surges past forecast,0,2021-10-20
Economic indicators point to sustained recovery,1,2022-07-11
Federal Reserve hints at aggressive rate hikes,0,2021-08-08
Disappointing earnings drag tech sector down,0,2022-11-29
Economic indicators point to sustained recovery,1,2021-05-18
Geopolitical tensions trigger global selloff,0,2022-03-13
Markets tumble as inflation surges past forecast,0,2021-01-26
Disappointing earnings drag tech sector down,0,2022-11-26
Markets tumble as inflation surges past forecast,0,2022-04-04
Unemployment claims rise unexpectedly,0,2023-03-13
Disappointing earnings drag tech sector down,0,2022-03-26
Geopolitical tensions trigger global selloff,0,2022-08-10
Federal Reserve signals interest rate pause to support markets,1,2021-06-27
Federal Reserve hints at aggressive rate hikes,0,2022-01-22
Disappointing earnings drag tech sector down,0,2023-01-25
Unemployment claims rise unexpectedly,0,2022-10-12
Positive job report boosts investor confidence,1,2022-11-21
Markets tumble as inflation surges past forecast,0,2022-09-15
"Oil prices fall, reducing inflation fears",1,2022-04-22
Federal Reserve hints at aggressive rate hikes,0,2021-06-06
Disappointing earnings drag tech sector down,0,2021-01-08
Economic indicators point to sustained recovery,1,2023-05-25
Markets tumble as inflation surges past forecast,0,2023-01-04
Disappointing earnings drag tech sector down,0,2021-12-30
Positive job report boosts investor confidence,1,2021-04-04
Tech stocks rally as earnings exceed expectations,1,2021-02-18
Federal Reserve signals interest rate pause to support markets,1,2021-02-09
"Oil prices fall, reducing inflation fears",1,2022-04-22
Unemployment claims rise unexpectedly,0,2022-10-04
Tech stocks rally as earnings exceed expectations,1,2023-03-07
Federal Reserve hints at aggressive rate hikes,0,2021-07-18
Geopolitical tensions trigger global selloff,0,2022-09-23
Federal Reserve hints at aggressive rate hikes,0,2022-05-26
Federal Reserve hints at aggressive rate hikes,0,2021-02-04
Tech stocks rally as earnings exceed expectations,1,2022-06-06
Disappointing earnings drag tech sector down,0,2021-01-04
Geopolitical tensions trigger global selloff,0,2022-07-18
Federal Reserve signals interest rate pause to support markets,1,2022-07-03
Federal Reserve signals interest rate pause to support markets,1,2021-03-02
Federal Reserve hints at aggressive rate hikes,0,2023-04-19
Geopolitical tensions trigger global selloff,0,2021-06-23
Geopolitical tensions trigger global selloff,0,2023-01-19
"Oil prices fall, reducing inflation fears",1,2021-07-16
Markets tumble as inflation surges past forecast,0,2022-01-25
Positive job report boosts investor confidence,1,2021-01-04
Federal Reserve signals interest rate pause to support markets,1,2023-05-04
Federal Reserve signals interest rate pause to support markets,1,2023-02-04
Federal Reserve signals interest rate pause to support markets,1,2021-12-29
Economic indicators point to sustained recovery,1,2021-09-23
Federal Reserve hints at aggressive rate hikes,0,2021-11-10
Disappointing earnings drag tech sector down,0,2021-08-26
Federal Reserve signals interest rate pause to support markets,1,2023-03-26
Geopolitical tensions trigger global selloff,0,2022-04-24
Unemployment claims rise unexpectedly,0,2023-06-13
Federal Reserve hints at aggressive rate hikes,0,2021-10-09
Tech stocks rally as earnings exceed expectations,1,2023-05-02
Tech stocks rally as earnings exceed expectations,1,2021-05-01
Tech stocks rally as earnings exceed expectations,1,2021-04-18
Positive job report boosts investor confidence,1,2021-09-15
Economic indicators point to sustained recovery,1,2021-07-17
Positive job report boosts investor confidence,1,2021-02-01
Tech stocks rally as earnings exceed expectations,1,2022-03-24
Disappointing earnings drag tech sector down,0,2022-05-29
Economic indicators point to sustained recovery,1,2023-04-27
"Oil prices fall, reducing inflation fears",1,2023-04-27
Unemployment claims rise unexpectedly,0,2021-11-06
Tech stocks rally as earnings exceed expectations,1,2021-04-28
Economic indicators point to sustained recovery,1,2022-05-10
Disappointing earnings drag tech sector down,0,2022-08-10
Disappointing earnings drag tech sector down,0,2023-01-15
Tech stocks rally as earnings exceed expectations,1,2022-08-31
Positive job report boosts investor confidence,1,2023-04-13
Unemployment claims rise unexpectedly,0,2021-10-24
Economic indicators point to sustained recovery,1,2023-05-24
Disappointing earnings drag tech sector down,0,2021-10-19
"Oil prices fall, reducing inflation fears",1,2023-02-26
Federal Reserve hints at aggressive rate hikes,0,2022-08-30
Federal Reserve signals interest rate pause to support markets,1,2021-03-17
Markets tumble as inflation surges past forecast,0,2021-09-03
Positive job report boosts investor confidence,1,2021-03-13
"Oil prices fall, reducing inflation fears",1,2023-05-18
Positive job report boosts investor confidence,1,2023-03-11
Tech stocks rally as earnings exceed expectations,1,2021-11-24
Federal Reserve hints at aggressive rate hikes,0,2021-01-01
Markets tumble as inflation surges past forecast,0,2023-05-10
Economic indicators point to sustained recovery,1,2022-05-31
Economic indicators point to sustained recovery,1,2023-02-19
Unemployment claims rise unexpectedly,0,2022-12-16
Federal Reserve hints at aggressive rate hikes,0,2021-01-10
Unemployment claims rise unexpectedly,0,2021-07-23
Federal Reserve hints at aggressive rate hikes,0,2022-09-11
Unemployment claims rise unexpectedly,0,2023-01-03
Tech stocks rally as earnings exceed expectations,1,2021-08-23
"Oil prices fall, reducing inflation fears",1,2021-08-17
Tech stocks rally as earnings exceed expectations,1,2022-11-03
Economic indicators point to sustained recovery,1,2023-03-29
Markets tumble as inflation surges past forecast,0,2022-09-01
Geopolitical tensions trigger global selloff,0,2021-07-11
Unemployment claims rise unexpectedly,0,2021-05-08
Economic indicators point to sustained recovery,1,2022-08-02
Federal Reserve signals interest rate pause to support markets,1,2022-08-27
Federal Reserve signals interest rate pause to support markets,1,2022-02-06
Tech stocks rally as earnings exceed expectations,1,2021-03-04
Federal Reserve hints at aggressive rate hikes,0,2022-04-20
Geopolitical tensions trigger global selloff,0,2021-02-23
Federal Reserve hints at aggressive rate hikes,0,2021-03-02
Disappointing earnings drag tech sector down,0,2021-02-22
Federal Reserve hints at aggressive rate hikes,0,2021-03-21
Economic indicators point to sustained recovery,1,2021-08-05
Federal Reserve signals interest rate pause to support markets,1,2022-11-02
Geopolitical tensions trigger global selloff,0,2022-01-08
Federal Reserve hints at aggressive rate hikes,0,2023-02-11
Positive job report boosts investor confidence,1,2021-11-16
Economic indicators point to sustained recovery,1,2021-12-01
Unemployment claims rise unexpectedly,0,2022-11-13
"Oil prices fall, reducing inflation fears",1,2022-03-31
Economic indicators point to sustained recovery,1,2021-04-06
Federal Reserve hints at aggressive rate hikes,0,2023-03-28
Markets tumble as inflation surges past forecast,0,2021-01-09
"Oil prices fall, reducing inflation fears",1,2023-03-30
