headline,label,date
meta sales rise 8% missing targets,1,2022-11-11
visa sales fall 15% beating expectations,0,2022-12-02
goldman sachs reveals strong quarterly results,0,2022-12-05
amazon earnings rise 23% beating expectations,1,2022-12-10
jpmorgan profit surge 21% missing targets,0,2022-12-16
meta reveals strong quarterly results,0,2022-12-21
intel revenue decline 24% in line with forecasts,1,2023-01-04
nvidia growth fall 23% missing targets,0,2023-01-08
nvidia revenue up 12% in line with forecasts,1,2023-01-08
nvidia mixed quarterly results,0,2023-01-18
paypal revenue fall 4% missing targets,0,2023-01-21
jpmorgan earnings rise 4% missing targets,1,2023-01-24
netflix sales down 6% missing targets,1,2023-01-25
meta revenue fall 23% in line with forecasts,0,2023-01-25
paypal sales down 11% beating expectations,1,2023-01-28
netflix profit up 22% missing targets,1,2023-01-31
microsoft stock drops after earnings report,0,2023-02-06
amazon earnings down 1% missing targets,0,2023-02-08
google growth decline 16% missing targets,1,2023-02-23
tesla profit rise 16% missing targets,0,2023-02-26
visa sales down 12% missing targets,0,2023-02-26
google sales surge 7% beating expectations,1,2023-03-09
jpmorgan revenue decline 10% beating expectations,1,2023-03-09
netflix reveals mixed quarterly results,0,2023-03-12
visa earnings surge 21% beating expectations,1,2023-03-17
meta sales surge 14% in line with forecasts,1,2023-03-18
netflix earnings up 14% beating expectations,1,2023-03-21
amazon sales up 15% missing targets,0,2023-03-21
jpmorgan sales up 18% in line with forecasts,0,2023-03-22
google revenue surge 12% missing targets,0,2023-04-04
netflix sales surge 24% missing targets,1,2023-04-05
paypal mixed quarterly results,1,2023-04-06
jpmorgan stock drops after earnings report,0,2023-04-08
jpmorgan growth surge 19% in line with forecasts,1,2023-04-09
microsoft revenue decline 9% beating expectations,0,2023-04-16
apple profit up 20% in line with forecasts,1,2023-04-18
tesla revenue rise 10% beating expectations,1,2023-04-21
amazon stock drops after regulatory,0,2023-04-22
jpmorgan growth down 20% missing targets,0,2023-04-23
goldman sachs earnings surge 12% beating expectations,1,2023-04-24
nvidia profit surge 7% missing targets,1,2023-05-02
tesla earnings up 6% missing targets,1,2023-05-03
paypal earnings rise 9% in line with forecasts,1,2023-05-08
amazon sales up 7% in line with forecasts,0,2023-05-11
nvidia revenue down 7% beating expectations,0,2023-05-12
goldman sachs earnings surge 11% missing targets,0,2023-05-13
amazon profit down 24% in line with forecasts,0,2023-05-17
jpmorgan sales rise 10% beating expectations,0,2023-05-18
goldman sachs growth decline 23% missing targets,0,2023-05-19
paypal sales fall 15% in line with forecasts,0,2023-05-21
jpmorgan mixed quarterly results,0,2023-06-01
goldman sachs sales decline 7% in line with forecasts,1,2023-06-08
meta weak quarterly results,1,2023-06-10
google sales down 3% in line with forecasts,1,2023-06-14
intel sales up 18% missing targets,0,2023-06-16
amazon revenue surge 22% beating expectations,0,2023-06-22
netflix revenue rise 5% in line with forecasts,1,2023-06-30
nvidia sales surge 23% beating expectations,1,2023-06-30
netflix earnings surge 15% missing targets,1,2023-07-05
google sales surge 23% missing targets,0,2023-07-07
microsoft sales decline 22% missing targets,0,2023-07-07
netflix revenue fall 17% beating expectations,1,2023-07-08
netflix stock drops after earnings report,1,2023-07-11
google profit rise 17% in line with forecasts,1,2023-07-12
paypal profit rise 19% beating expectations,1,2023-07-12
google earnings fall 23% beating expectations,1,2023-07-25
apple growth rise 3% missing targets,0,2023-07-27
amazon stock falls after product launch,0,2023-07-28
nvidia revenue rise 11% missing targets,1,2023-07-30
nvidia profit rise 12% in line with forecasts,1,2023-07-30
jpmorgan profit up 5% in line with forecasts,1,2023-08-04
tesla revenue surge 15% in line with forecasts,1,2023-08-12
intel revenue rise 24% missing targets,0,2023-08-17
amazon revenue rise 11% in line with forecasts,0,2023-08-24
jpmorgan revenue down 14% missing targets,0,2023-09-02
paypal stock jumps after earnings report,1,2023-09-06
goldman sachs stock soars after product launch,1,2023-09-10
visa earnings rise 9% missing targets,1,2023-09-11
amazon growth rise 17% missing targets,1,2023-09-13
goldman sachs growth rise 17% in line with forecasts,1,2023-09-14
google revenue down 3% missing targets,0,2023-09-23
microsoft stock plunges after product launch,0,2023-09-23
nvidia growth fall 8% in line with forecasts,0,2023-09-26
visa profit decline 9% in line with forecasts,0,2023-10-03
google stock soars after regulatory,0,2023-10-18
amazon announces mixed quarterly results,1,2023-10-29
apple stock rises after product launch,1,2023-10-30
intel stock rises after regulatory,0,2023-11-02
microsoft sales down 12% in line with forecasts,1,2023-12-01
google earnings decline 10% in line with forecasts,1,2023-12-02
amazon profit down 19% beating expectations,0,2023-12-05
goldman sachs mixed quarterly results,0,2023-12-06
apple profit up 3% missing targets,0,2023-12-15
jpmorgan profit fall 22% beating expectations,0,2023-12-18
intel earnings up 15% in line with forecasts,1,2023-12-31
google growth up 20% missing targets,1,2024-01-04
tesla growth up 18% missing targets,1,2024-01-07
goldman sachs earnings down 14% in line with forecasts,0,2024-01-09
jpmorgan growth up 8% beating expectations,1,2024-01-14
visa revenue down 5% missing targets,0,2024-01-25
paypal sales fall 8% missing targets,1,2024-01-26
intel sales rise 15% beating expectations,1,2024-02-15
google strong quarterly results,0,2024-02-16
paypal growth decline 20% missing targets,0,2024-02-17
netflix growth decline 8% beating expectations,1,2024-02-23
apple revenue up 15% missing targets,0,2024-02-25
jpmorgan sales decline 21% missing targets,0,2024-02-29
microsoft profit surge 23% in line with forecasts,0,2024-03-01
jpmorgan revenue decline 19% in line with forecasts,1,2024-03-06
tesla profit decline 20% beating expectations,1,2024-03-09
amazon growth decline 5% in line with forecasts,1,2024-03-12
microsoft revenue up 23% in line with forecasts,1,2024-03-17
meta growth up 12% in line with forecasts,1,2024-03-18
google mixed quarterly results,0,2024-03-26
google sales fall 19% missing targets,0,2024-04-01
microsoft sales down 21% beating expectations,0,2024-04-01
intel growth down 15% missing targets,0,2024-04-02
netflix profit decline 5% missing targets,0,2024-04-10
tesla sales fall 2% missing targets,0,2024-04-15
meta stock plunges after earnings report,0,2024-04-17
meta growth surge 24% missing targets,1,2024-04-26
paypal growth decline 22% beating expectations,1,2024-04-28
paypal profit rise 9% missing targets,1,2024-04-30
apple sales up 22% missing targets,1,2024-05-01
microsoft profit rise 8% beating expectations,1,2024-05-03
netflix sales down 10% beating expectations,0,2024-05-04
microsoft sales fall 17% missing targets,1,2024-05-04
google stock rises after earnings report,0,2024-05-04
netflix profit down 13% in line with forecasts,1,2024-05-12
microsoft strong quarterly results,0,2024-05-18
visa earnings surge 14% in line with forecasts,0,2024-05-21
netflix stock drops after regulatory,0,2024-05-21
amazon profit surge 4% missing targets,1,2024-06-04
nvidia stock soars after regulatory,0,2024-06-05
intel earnings up 20% beating expectations,1,2024-06-07
google growth fall 23% in line with forecasts,1,2024-06-08
apple revenue decline 2% missing targets,1,2024-06-23
tesla stock falls after earnings report,0,2024-06-25
nvidia sales up 3% missing targets,1,2024-06-26
